	phylum	class	order	family	genus	species	taxon
2714	Firmicutes	Bacilli	Bacillales	Bacillaceae	Terribacillus	Terribacillus goriensis	Terribacillus goriensis
6776	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutibacter	Lutibacter profundi	Lutibacter profundi
6948	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales				Flavobacteriales
7035	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales				Flavobacteriales
9686	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum	Methylovulum psychrotolerans	Methylovulum psychrotolerans
13016	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium gaetbulicola	Photobacterium gaetbulicola Gung47
13346	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	Thalassotalea crassostreae	Thalassotalea crassostreae
8387	Proteobacteria						Proteobacteria
13109	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio campbellii	Vibrio campbellii
70	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae			Beijerinckiaceae
82	Proteobacteria	Alphaproteobacteria	Rhizobiales				Rhizobiales
184	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp. LPB0140	Sphingopyxis sp. LPB0140
216	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter mangrovi	Altererythrobacter mangrovi
353	Proteobacteria	Alphaproteobacteria					Alphaproteobacteria
529	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			Rhodobacteraceae
553	Proteobacteria	Alphaproteobacteria					Alphaproteobacteria
933	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia		Rickettsia
1080	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae			Acetobacteraceae
1343	Cyanobacteria		Nostocales				Nostocales
1362	Cyanobacteria		Nostocales	Rivulariaceae	Calothrix		Calothrix
1458	Cyanobacteria						Cyanobacteria
3874							Bacteria <prokaryotes>
5385	Actinobacteria <phylum>						Actinobacteria <phylum>
5386	Actinobacteria <phylum>						Actinobacteria <phylum>
5387	Actinobacteria <phylum>						Actinobacteria <phylum>
5797	Actinobacteria <phylum>	Actinobacteria <class>	Micrococcales	Microbacteriaceae	Agromyces		Agromyces
5842	Actinobacteria <phylum>	Actinobacteria <class>	Micrococcales	Microbacteriaceae	Rhodoluna		Rhodoluna
5867	Actinobacteria <phylum>	Actinobacteria <class>	Micrococcales	Microbacteriaceae			Microbacteriaceae
5920	Actinobacteria <phylum>	Actinobacteria <class>	Micrococcales	Microbacteriaceae			Microbacteriaceae
5933	Actinobacteria <phylum>						Actinobacteria <phylum>
6033	Actinobacteria <phylum>						Actinobacteria <phylum>
6472	Actinobacteria <phylum>	Actinobacteria <class>	Corynebacteriales	Mycobacteriaceae			Mycobacteriaceae
6626	Actinobacteria <phylum>						Actinobacteria <phylum>
6630							Bacteria <prokaryotes>
6672	Bacteroidetes <phylum>		Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Rhodothermus	Rhodothermus marinus	Rhodothermus marinus
6692	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola taffensis	Fluviicola taffensis DSM 16823
6859	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			Flavobacteriaceae
6868	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			Flavobacteriaceae
7170	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales				Flavobacteriales
7351	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales	Odoribacteraceae			Odoribacteraceae
7353	Bacteroidetes <phylum>	Bacteroidia					Bacteroidia
7364	Bacteroidetes <phylum>	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter sp. HYN0043	Mucilaginibacter sp. HYN0043
7403	Bacteroidetes <phylum>	Chitinophagia	Chitinophagales	Chitinophagaceae	Arachidicoccus		Arachidicoccus
7443	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Cyclobacteriaceae			Cyclobacteriaceae
7516	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Flammeovirgaceae			Flammeovirgaceae
7527							Bacteria <prokaryotes>
7535							Bacteria <prokaryotes>
7552	Nitrospirae	Nitrospira <class>	Nitrospirales	Nitrospiraceae	Nitrospira <genus>	Nitrospira moscoviensis	Nitrospira moscoviensis
7562	Nitrospirae	Nitrospira <class>	Nitrospirales	Nitrospiraceae			Nitrospiraceae
7570	Planctomycetes <phylum>	Planctomycetia	Planctomycetales	Isosphaeraceae	Isosphaera	Isosphaera pallida	Isosphaera pallida ATCC 43644
7753	Acidobacteria <phylum>						Acidobacteria <phylum>
8317	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfurivibrio	Desulfurivibrio alkaliphilus	Desulfurivibrio alkaliphilus AHT 2
8329	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae			Desulfobacteraceae
8380	Proteobacteria	Deltaproteobacteria	Myxococcales				Cystobacterineae
8381	Proteobacteria	Deltaproteobacteria	Myxococcales				Cystobacterineae
8391							Bacteria <prokaryotes>
8444	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Luteimonas sp. 100111	Luteimonas sp. 100111
8580	Proteobacteria	Betaproteobacteria				Betaproteobacteria bacterium GR16-43	Betaproteobacteria bacterium GR16-43
8586	Proteobacteria	Betaproteobacteria			Candidatus Accumulibacter	Candidatus Accumulibacter phosphatis	Candidatus Accumulibacter phosphatis clade IIA str. UW-1
8590	Proteobacteria	Betaproteobacteria					Betaproteobacteria
8592	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Gallionella	Gallionella capsiferriformans	Gallionella capsiferriformans ES-2
8630	Proteobacteria	Betaproteobacteria	Nitrosomonadales				Nitrosomonadales
8977	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas		Comamonas
8985	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans		Limnohabitans
9021	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax citrulli	Acidovorax citrulli AAC00-1
9342	Proteobacteria	Betaproteobacteria					Betaproteobacteria
9412	Proteobacteria	Betaproteobacteria				beta proteobacterium CB	beta proteobacterium CB
9535	Proteobacteria						Proteobacteria
9629	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae			Legionellaceae
9691	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas		Methylomonas
9762	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella sp. FDC440	Francisella sp. FDC440
9800	Proteobacteria	Gammaproteobacteria					unclassified Gammaproteobacteria
10080	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		Pseudomonas
10514	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae			Pseudomonadaceae
13103	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio		Vibrio
13396	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas		Pseudoalteromonas
13460	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
13463	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
13465	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
13485							Bacteria <prokaryotes>
13488							Bacteria <prokaryotes>
1386	Cyanobacteria		Pleurocapsales	Dermocarpellaceae	Stanieria	Stanieria cyanosphaera	Stanieria cyanosphaera PCC 7437
9539	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus		Nitrosococcus
10336	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas protegens	Pseudomonas protegens Pf-5
13430	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer	Microbulbifer thermotolerans	Microbulbifer thermotolerans
172	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp. THN1	Novosphingobium sp. THN1
224	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter namhicola	Altererythrobacter namhicola
428	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter		Rhodobacter
1282	Spirochaetes <phylum>	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira biflexa	Leptospira biflexa serovar Patoc
1349	Cyanobacteria		Nostocales	Nostocaceae	Nostoc	Nostoc sp. CENA543	Nostoc sp. CENA543
1511	Cyanobacteria		Synechococcales	Synechococcaceae	Cyanobium	Cyanobium sp. NIES-981	Cyanobium sp. NIES-981
4328	Firmicutes						Firmicutes
6731	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium branchiophilum	Flavobacterium branchiophilum FL-15
7346	Bacteroidetes <phylum>	Bacteroidia	Marinilabiliales	Marinilabiliaceae	Alkalitalea	Alkalitalea saponilacus	Alkalitalea saponilacus
7408	Bacteroidetes <phylum>	Chitinophagia	Chitinophagales	Chitinophagaceae	Pseudoflavitalea	Pseudoflavitalea sp. 5GH32-13	Pseudoflavitalea sp. 5GH32-13
7416	Bacteroidetes <phylum>	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga pinensis	Chitinophaga pinensis DSM 2588
7446	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Cytophagaceae	Runella	Runella sp. SP2	Runella sp. SP2
7459	Bacteroidetes <phylum>	Cytophagia	Cytophagales	Cytophagaceae			Cytophagaceae
10067	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. LTJR-52	Pseudomonas sp. LTJR-52
8311	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae			Syntrophobacteraceae
8336	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae			Syntrophaceae
407	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum		Rhodovulum
1261	Spirochaetes <phylum>	Spirochaetia	Spirochaetales				Spirochaetales
8390							Bacteria <prokaryotes>
8627	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Gallionellaceae	Sulfuriferula	Sulfuriferula sp. AH1	Sulfuriferula sp. AH1
9405	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter paneuropaeus	Polynucleobacter paneuropaeus
12510	Proteobacteria	Gammaproteobacteria					unclassified Gammaproteobacteria
364	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae		Caulobacteraceae bacterium OTSz_A_272	Caulobacteraceae bacterium OTSz_A_272
1240	Spirochaetes <phylum>	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema brennaborense	Treponema brennaborense DSM 12168
3962	Fusobacteria <phylum>	Fusobacteriia	Fusobacteriales	Fusobacteriaceae			Fusobacteriaceae
7605	Chlamydiae <phylum>	Chlamydiia	Parachlamydiales	Parachlamydiaceae			Parachlamydiaceae
8206	Proteobacteria	Epsilonproteobacteria	Campylobacterales				Campylobacterales
9559	Proteobacteria	Gammaproteobacteria				endosymbiont of unidentified scaly snail isolate Monju	endosymbiont of unidentified scaly snail isolate Monju
9571	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
13391	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas rubra	Pseudoalteromonas rubra
486	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ketogulonicigenium		Ketogulonicigenium
4825	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus chitinolyticus	Paenibacillus chitinolyticus
7332	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		Prevotella
7797	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter pacificus	Arcobacter pacificus
9522	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera humireducens	Thauera humireducens
9612	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	Legionella pneumophila subsp. pneumophila
9964	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae		Moraxellaceae bacterium HYN0046	Moraxellaceae bacterium HYN0046
1678	Firmicutes	Clostridia					Clostridia
3877	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter sp. H121	Turicibacter sp. H121
5837	Actinobacteria <phylum>	Actinobacteria <class>	Micrococcales	Microbacteriaceae	Rhodoluna	Candidatus Rhodoluna planktonica	Candidatus Rhodoluna planktonica
8359	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter		Anaeromyxobacter
9018	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			Comamonadaceae
10597	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Candidatus Carsonella	Candidatus Carsonella ruddii	Candidatus Carsonella ruddii CS isolate Thao2000
13124	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio campbellii	Vibrio campbellii
7529	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	Melioribacter	Melioribacter roseus	Melioribacter roseus P3M-2
272	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium yanoikuyae	Sphingobium yanoikuyae
414	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter	Gemmobacter sp. HYN0069	Gemmobacter sp. HYN0069
517	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter sp. LSS9	Phaeobacter sp. LSS9
1377	Cyanobacteria					cyanobacterium endosymbiont of Epithemia turgida	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko
1378	Cyanobacteria						unclassified Cyanobacteria (miscellaneous)
4033	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma mobile	Mycoplasma mobile 163K
4304	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae	Spiroplasma		Spiroplasma
4884	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus		Acidaminococcus
7229	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales		Candidatus Azobacteroides	Candidatus Azobacteroides pseudotrichonymphae	Candidatus Azobacteroides pseudotrichonymphae
7230	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella viscericola	Barnesiella viscericola DSM 18177
7964	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Sulfurospirillum	Sulfurospirillum halorespirans	Sulfurospirillum halorespirans DSM 13726
8404	Proteobacteria	Gammaproteobacteria					Gammaproteobacteria
13111	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio harveyi	Vibrio harveyi
1988	Firmicutes	Clostridia	Clostridiales			Clostridiales bacterium 70B-A	Clostridiales bacterium 70B-A
13376	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas nigrifaciens	Pseudoalteromonas nigrifaciens
2096	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenella		Christensenella
7762							Bacteria <prokaryotes>
4997	Chloroflexi <phylum>	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	Anaerolinea thermophila	Anaerolinea thermophila UNI-1
403	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodovulum	Rhodovulum sulfidophilum	Rhodovulum sulfidophilum
1262	Spirochaetes <phylum>	Spirochaetia	Spirochaetales				Spirochaetales
4965					Thermobaculum	Thermobaculum terrenum	Thermobaculum terrenum ATCC BAA-798
981	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma		Anaplasma
1260	Spirochaetes <phylum>	Spirochaetia	Spirochaetales				Spirochaetales
1917	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii	Clostridium beijerinckii
7190	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas asaccharolytica	Porphyromonas asaccharolytica DSM 20707
7247	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides <genus>	Bacteroides caccae	Bacteroides caccae
7331	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella oris	Prevotella oris
7554	Nitrospirae	Nitrospira <class>	Nitrospirales	Nitrospiraceae	Nitrospira <genus>	Candidatus Nitrospira inopinata	Candidatus Nitrospira inopinata
7729	Verrucomicrobia						Verrucomicrobia
7732							PVC group
7791	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter mytili	Arcobacter mytili LMG 24559
8265	Proteobacteria	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	Bacteriovorax stolpii	Bacteriovorax stolpii
9904	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	Acinetobacter baumannii
13166	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae	Vibrio cholerae
397	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			Rhodobacteraceae
787	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae			Hyphomicrobiaceae
1109	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae			Acetobacteraceae
1595	Candidatus Bipolaricaulota				Candidatus Bipolaricaulis	Candidatus Bipolaricaulis anaerobius	Candidatus Bipolaricaulis anaerobius
7533							Bacteria <prokaryotes>
8353	Proteobacteria	Deltaproteobacteria	Myxococcales				Myxococcales
1321	Cyanobacteria		Chroococcales	Chroococcaceae	Gloeocapsa	Gloeocapsa sp. PCC 7428	Gloeocapsa sp. PCC 7428
2209	Firmicutes	Bacilli	Bacillales				Bacillales
361	Proteobacteria	Alphaproteobacteria	Rhizobiales		Methyloceanibacter	Methyloceanibacter sp. wino2	Methyloceanibacter sp. wino2
1938	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			Clostridiaceae
13333	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	Colwellia sp. PAMC 20917	Colwellia sp. PAMC 20917
9784	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Hydrogenovibrio	Hydrogenovibrio thermophilus	Hydrogenovibrio thermophilus
9801	Proteobacteria	Gammaproteobacteria			Candidatus Thioglobus	Candidatus Thioglobus singularis	Candidatus Thioglobus singularis PS1
13342	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	Colwellia sp. MT41	Colwellia sp. MT41
641	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae			Sinorhizobium/Ensifer group
1072	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisphaera	Acidisphaera sp. G45-3	Acidisphaera sp. G45-3
2829	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus <bacterium>	Bacillus sp. X1(2014)	Bacillus sp. X1(2014)
7750	Acidobacteria <phylum>	Acidobacteriia	Acidobacteriales	Acidobacteriaceae			Acidobacteriaceae
8949	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vitreoscilla	Vitreoscilla filiformis	Vitreoscilla filiformis
10069	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas psychrotolerans	Pseudomonas psychrotolerans
929	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia montanensis	Rickettsia montanensis str. OSU 85-930
4860	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	Acetohalobium arabaticum	Acetohalobium arabaticum DSM 5501
636	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer <bacterium>	Ensifer sojae	Ensifer sojae CCBAU 05684
7174	Bacteroidetes <phylum>	Bacteroidia	Bacteroidales	Rikenellaceae	Mucinivorans	Mucinivorans hirudinis	Mucinivorans hirudinis
8325	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus		Desulfococcus
5752	Actinobacteria <phylum>	Actinobacteria <class>	Bifidobacteriales	Bifidobacteriaceae			Bifidobacteriaceae
7041	Bacteroidetes <phylum>	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Weeksella	Weeksella virosa	Weeksella virosa DSM 16922
9656	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio paradoxus	Thioalkalivibrio paradoxus ARh 1
12507	Proteobacteria	Gammaproteobacteria			Candidatus Nardonella	endosymbiont of Pachyrhynchus infernalis	endosymbiont of Pachyrhynchus infernalis
7698	Chlamydiae <phylum>	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia		Chlamydia
7411	Bacteroidetes <phylum>	Chitinophagia	Chitinophagales	Chitinophagaceae			Chitinophagaceae
