	phylum	class	order	family	genus	species	taxon
1476	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CC9605	Synechococcus sp. CC9605
1477	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. KORDI-49	Synechococcus sp. KORDI-49
1482	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus		Synechococcus
1483	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus		Synechococcus
1507	Cyanobacteria		Synechococcales				Synechococcales
1509	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. CB0101	Synechococcus sp. CB0101
1515	Cyanobacteria		Synechococcales	Synechococcaceae			Synechococcaceae
1547	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor		Caldicellulosiruptor
1584	Caldiserica	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum	Caldisericum exile	Caldisericum exile AZM16c01
1594	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter	Coprothermobacter proteolyticus	Coprothermobacter proteolyticus DSM 5265
1757	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Hungateiclostridium	Hungateiclostridium saccincola	Hungateiclostridium saccincola
1860	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Candidatus Arthromitus		Candidatus Arthromitus
2044	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum		Cellulosilyticum
2090	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae			Eubacteriaceae
2876	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium sp. CP1	Carnobacterium sp. CP1
3968	Tenericutes						unclassified Tenericutes
4069	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma crocodyli	Mycoplasma crocodyli MP145
