Sample,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
171120_3,1.491600879,1.06351245,1.541597262,1.308306306,2656.296154,1737.707176,2985503.189,2104282.013,44.33358541,13.96926958,0.46554181,0.08318594,0.495177226,0.100848011
171116_8,1.672437002,0.807051489,1.608289206,1.165717695,2721.110165,1363.151983,3061586.477,1727516.005,48.58273755,14.71214214,0.432339452,0.120845928,0.487705563,0.151108736
171125_5,1.60654012,1.010776267,1.466458113,1.192397752,2792.192239,1622.99448,3263945.506,2118460.069,49.69662896,11.88042072,0.395637506,0.119842369,0.472465758,0.173303194
171117_4,2.107259215,1.430567927,2.459739676,2.622243438,3499.85105,2840.590393,4169314.297,3578944.144,45.61823046,11.29187933,0.409189695,0.130442017,0.454437643,0.166010689
171121_10,1.773791554,1.073178437,2.019413903,1.609083644,3130.334646,1773.104475,3578830.175,2274815.96,48.18783036,15.05641484,0.450541132,0.111116658,0.496608268,0.136611291
171118_8,1.661313508,0.875992901,1.673737757,1.27440873,2736.076267,1408.965191,3064656.847,1735619.188,47.66852767,14.49867204,0.432768484,0.10963477,0.494013345,0.145250466
171120_1,1.573878653,1.059645145,1.71853084,1.432738594,2813.495001,1755.238302,3222706.028,2213672.409,45.62125327,13.42482967,0.449955229,0.095325748,0.489497176,0.118830731
171118_12,1.602614501,0.819274654,1.551816642,1.135184218,2553.68991,1492.09929,2881499.434,1912738.885,46.24931658,16.07875808,0.450616775,0.126995515,0.489782084,0.147746398
171118_15,1.729751451,0.855818831,1.753329903,1.345801643,2885.668358,1508.977203,3298682.703,1991100.494,49.53190873,14.24982744,0.438776906,0.120798764,0.497864255,0.147222463
171120_4,1.473099539,1.063567562,1.532543496,1.287429234,2727.807947,1720.684365,3048515.169,2054803.777,45.24308288,14.05583392,0.465424011,0.079732993,0.495844815,0.097920019
171121_13,1.646361604,0.888849318,1.62367189,1.355461424,2625.662468,1602.956853,2959820.463,2033079.03,45.3259421,15.37134694,0.445851183,0.114094586,0.510589394,0.146054513
171121_12,1.657026481,0.883175326,1.758033246,1.449507025,2771.458876,1617.935021,3125984.152,2052669.274,47.61760102,15.15178464,0.450783395,0.108865032,0.510762094,0.137572898
171116_2,1.748121362,1.005010956,1.876461422,1.662389118,2978.036692,1743.30558,3391734.151,2187808.666,46.86326833,13.74931744,0.421537345,0.110263523,0.496336448,0.153868267
171118_2,1.883938088,0.989740686,2.365335991,1.979678474,3354.165846,2012.914989,3837087.881,2480950.03,46.71671167,13.5646976,0.433701465,0.106516267,0.513533633,0.141364502
171117_13,2.007334247,1.297665587,2.141304509,2.35845975,3270.919785,2444.29927,3826775.461,3089589.78,47.81672665,12.20632738,0.419010689,0.120061018,0.466394069,0.154576466
171117_7,2.010614124,1.176376995,2.109858401,2.146118008,3360.47015,2123.716939,3925570.875,2724091.279,48.827348,12.4366728,0.422263102,0.112038661,0.484763333,0.151966526
171116_17,1.886221164,1.010046362,2.390672003,2.142648346,3342.807509,2051.95103,3840031.77,2537495.601,46.72972723,13.7323996,0.434391767,0.111325144,0.502109071,0.144072231
171125_6,1.550982903,0.95233752,1.432928363,1.156727152,2691.5812,1577.755751,3121230.582,2044473.536,49.14599298,12.48030954,0.401990321,0.120924467,0.473740853,0.170739823
171121_6,1.777373907,0.971276337,1.956064658,1.58211334,3101.380042,1818.452991,3566504.846,2350899.134,47.86471236,14.67159265,0.445955675,0.110621636,0.50360309,0.138674621
171121_14,1.758202996,0.995864437,1.970668352,1.727082374,3086.833516,1765.917876,3528959.026,2213677.772,48.04661887,14.22298371,0.438991109,0.108266722,0.507555398,0.142910971
171116_20,1.74666381,0.878935271,1.864148549,1.473135327,3148.540274,1531.363114,3666305.068,2043480.609,50.66670932,12.07708767,0.410601587,0.126997408,0.469592304,0.165517665
171126_4,1.67684678,0.99602322,1.430896994,1.20949147,2531.765741,1266.548076,2737130.284,1522841.392,47.7539435,14.53083764,0.447184087,0.096616011,0.507616398,0.131638183
171119_10,1.61504585,0.899438537,1.72395476,1.432155913,2840.895803,1809.037222,3281052.737,2344023.248,44.59739986,13.72137998,0.439912691,0.113350009,0.489580993,0.13730307
171125_23,1.386478664,0.826611674,1.402926423,1.026272674,2740.956056,1589.336257,3062874.71,1919085.011,48.10721905,14.05357004,0.462046355,0.083108382,0.510371457,0.107780505
171117_1,1.932664967,1.291942077,2.131426853,2.29138735,3198.316284,2532.642673,3780675.205,3202141.047,46.56706135,11.07854355,0.400409908,0.12151176,0.45771779,0.166309778
171116_21,1.740502991,0.872123707,1.565390115,1.235857506,2849.508652,1404.250022,3238200.89,1799176.062,49.81545492,13.59761745,0.421982207,0.121891428,0.481105924,0.158006758
171117_10,2.019215888,1.196028101,2.137715506,2.139039631,3379.445518,2195.495923,3941280.971,2806658.022,47.16308689,12.70411273,0.419751591,0.118073039,0.478339933,0.156117913
171120_7,1.57946962,0.937588408,1.701165654,1.45286654,2804.239805,1711.050365,3157406.005,2108109.785,46.1060363,14.1904773,0.442128608,0.100178721,0.504545074,0.133437081
171121_1,1.766774047,0.98141023,1.820341202,1.475942627,2927.153098,1844.040872,3395021.21,2397251.014,44.78150898,15.22430944,0.447271989,0.125524462,0.494111135,0.150962513
171125_25,1.387042889,0.82475372,1.398622317,0.98603295,2755.262895,1584.339652,3084052.914,1919691.983,48.0784559,13.99970502,0.461508287,0.083717874,0.510811585,0.109256809
171118_6,1.755279987,0.973759298,1.966724183,1.753625677,2978.100914,1871.097416,3390713.564,2333094.41,45.88274179,14.24885215,0.431242733,0.111388709,0.49544305,0.147071841
171119_7,1.583609387,0.911935517,1.703562522,1.432005952,2771.608524,1811.678596,3180408.19,2324752.628,44.29454377,13.88479039,0.446978783,0.106248566,0.492434024,0.129643545
171120_14,1.669242357,1.023790667,1.664225025,1.348552744,2715.14682,1572.249797,3033651.885,1930297.229,46.74913825,15.03562439,0.446324049,0.108027919,0.505978777,0.13706802
171118_17,1.61150204,0.831233384,1.568213834,1.153719193,2592.035213,1414.918588,2890232.635,1755182.61,46.63768941,15.40374255,0.438027125,0.115085977,0.496375373,0.146930438
171117_5,2.030326305,1.274251091,2.031535161,1.896763575,2952.745345,2195.278316,3476968.049,2821930.725,45.69088399,10.63255744,0.406724252,0.127095736,0.51663824,0.179369749
171125_15,1.375721297,0.78467385,1.357682829,0.942635069,2738.474251,1548.371062,3062468.864,1866133.422,48.27206538,13.87139844,0.460267633,0.08625955,0.510484865,0.111855807
171116_11,1.647249316,0.820888018,1.561205761,1.157623876,2758.974758,1398.01819,3138549.899,1810274.384,48.02120718,14.3126556,0.42100897,0.118955534,0.473215147,0.153834974
171122_8,1.691239291,0.915601945,1.871652834,1.50849043,2881.169418,1665.574952,3248273.056,2088747.555,46.41349873,15.82431974,0.451590769,0.122190161,0.494844378,0.146171419
171125_14,1.393728863,0.802185609,1.357770917,0.966513253,2695.023053,1551.232198,3022550.402,1901548.475,47.95128471,13.84848528,0.458195633,0.088891181,0.510694409,0.114690983
171120_9,1.571530953,0.935905508,1.645627587,1.397536402,2730.724933,1692.003704,3069024.66,2077377.966,45.89478822,14.27798241,0.447203657,0.099914348,0.503427063,0.128395663
