sample,lat,lon,temp,cond,salinity,turb,chl,pH,P,Nitrate+Nitrite,Ammonia,N,N:P,N*,15N,13C,%N,%C,Level,Level_2,Region,Envi
171117_14,1.205278,79.01481,27.5,19322,10.88240137,23.1,18.83,6.35,0.26,0.17,0.23,0.4,1.538461538,-3.76,6.278,-24.215,0.883726253,6.696428571,low,low,Cayapas Mataje,CM River
171117_15,1.201528,79.01394,27.2,23809,13.7526099,129.4,24.92,6.45,0.29,0.15,2.63,2.78,9.586206897,-1.86,7.258,-24.706,2.108720531,18.68274583,low,low,Cayapas Mataje,CM River
171117_16,1.196528,79.01311,27.7,22951,13.0733996,42.3,18.45,6.63,0.19,0.14,1.33,1.47,7.736842105,-1.57,5.659,-24.009,1.44632639,12.42346939,low,low,Cayapas Mataje,CM River
171117_17,1.192639,79.01486,27.6,24537,14.09356153,21.9,20.09,6.64,0.3,0.02,0.41,0.43,1.433333333,-4.37,5.561,-23.332,1.006637675,7.824675325,low,low,Cayapas Mataje,CM River
171117_18,1.214667,79.04386,27.9,45180,27.46384194,36.1,21.64,7.47,0.26,0.03,0.4,0.43,1.653846154,-3.73,6.026,-22.237,0.757152667,5.855751391,low,low,Cayapas Mataje,CM River
171117_19,1.216,79.04072,27.9,44393,26.93127764,28.8,16.72,7.18,0.25,0.07,0.6,0.67,2.68,-3.33,8.644,-22.207,0.649347677,4.33093692,low,low,Cayapas Mataje,CM River
171117_20,1.219194,79.04044,27.6,46128,28.28658322,24.5,19.67,6.8,0.22,0.01,0.27,0.28,1.272727273,-3.24,8.637,-22.359,0.710002289,4.383116883,low,low,Cayapas Mataje,CM River
171117_21,1.222889,79.03811,27.4,46859,28.91020395,18.1,11.58,6.6,0.22,0.08,0.44,0.52,2.363636364,-3,8.381,-22.661,0.572213321,3.783627087,low,low,Cayapas Mataje,CM River
171117_22,1.225611,79.033,27.5,46190,28.38929512,18.8,9.18,6.61,0.21,0.06,0.21,0.27,1.285714286,-3.09,5.394,-23.3,0.702449073,5.139146568,low,low,Cayapas Mataje,CM River
171118_1,1.295583,79.01481,27.4,39104,23.63933357,12,14.56,7.55,0.4,1.16,0.44,1.6,4,-4.8,7.131,-22.468,0.536049439,3.645640074,low,low,Cayapas Mataje,Plume
171118_2,1.290917,79.01111,27.4,39187,23.69496946,15.5,10.04,7.95,0.25,0.79,0.17,0.96,3.84,-3.04,7.622,-22.604,0.946211948,6.669758813,low,low,Cayapas Mataje,Plume
171118_3,1.285667,79.00625,27.4,38605,23.3052087,17.4,18.08,7.8,0.23,1.19,0.15,1.34,5.826086957,-2.34,8.865,-22.806,0.636530098,4.893320965,low,low,Cayapas Mataje,Plume
171118_4,1.276778,78.99981,27.4,38317,23.11264927,10.9,9.12,7.63,0.3,1.06,0.19,1.25,4.166666667,-3.55,6.888,-23.195,0.513389792,4.140769944,low,low,Cayapas Mataje,Plume
171118_5,1.270528,78.99258,27.4,37652,22.66881625,11.7,9.99,7.73,0.19,0.99,0.22,1.21,6.368421053,-1.83,6.483,-23.259,0.514991989,4.335575139,low,low,Cayapas Mataje,Plume
171118_6,1.881167,78.98519,27.4,36635,21.99220158,14.4,9.37,7.62,0.21,0.95,0.25,1.2,5.714285714,-2.16,7.906,-23.425,0.417715724,3.476345083,low,low,Cayapas Mataje,Plume
171118_7,1.258694,78.97758,27.4,33950,20.21851549,15,9.1,7.96,0.28,1.36,0.12,1.48,5.285714286,-3,10.207,-23.198,0.848020142,7.073283859,low,low,Cayapas Mataje,Plume
